X Y H
#lines-591--598  
71111.5078125 9509.9638671875 0.310285657644272
71122.8984375 9514.505859375 2.53608512878418
71134.2890625 9519.048828125 3.29231071472168
71145.671875 9523.591796875 3.51521110534668
71157.0625 9528.1337890625 3.70051383972168
71168.4453125 9532.6767578125 3.6299877166748
71179.8359375 9537.2197265625 3.6638011932373
71191.2265625 9541.7626953125 3.51350212097168
#lines-1911--1925 
70583.296875 10120.126953125 2.50569009780884
70579.765625 10121.724609375 2.75919485092163
70576.1640625 10123.35546875 2.94059062004089
69763.109375 10584.2802734375 2.30380177497864
69762.046875 10585.3681640625 2.2367684841156
69762.0625 10586.9501953125 2.34996581077576
69763.1796875 10588.0361328125 2.41919565200806
69764.765625 10588.0615234375 2.63318347930908
69767.953125 10586.666015625 3.07729053497314
69775.671875 10583.2802734375 1.93190455436707
69780.390625 10581.2099609375 2.21350812911987
69781.5078125 10580.033203125 2.38586926460266
69781.4765625 10578.478515625 2.41108536720276
69780.359375 10577.3994140625 2.51127433776855
69778.7265625 10577.4296875 2.38529992103577
#lines-38892--38915  
68629.6953125 11088.4765625 0.149680405855179
64590.10546875 11794.447265625 1.63967108726501
64594.484375 11953.9482421875 0.943267166614532
64604.40234375 11957.94140625 0.999196290969849
64674.796875 11822.1640625 2.73002886772156
64665.859375 11826.662109375 2.56961536407471
66404.046875 12150.439453125 0.330938190221786
64691.64453125 11806.9501953125 1.82022249698639
64920.76953125 12008.4833984375 1.44961845874786
67923.2890625 11443.0283203125 0.221399784088135
64743.6328125 11949.3662109375 1.43971002101898
64703.55859375 11820.0185546875 2.58256912231445
65892.0390625 12203.244140625 0
64745.62109375 11830.134765625 2.70702648162842
64789.296875 11965.326171875 1.36333417892456
64760.36328125 11833.76171875 2.69950294494629
64809.00390625 11845.46875 2.65435886383057
64878.17578125 11840.568359375 1.67458498477936
64851.3671875 11981.5478515625 1.76660466194153
64832.828125 11965.8095703125 1.91312921047211
64853.9609375 11862.2705078125 2.84839272499084
64858.265625 11984.572265625 1.65206897258759
64862.51953125 12030.5751953125 1.39460790157318
64890.45703125 12007.3271484375 1.27324843406677
#lines-39232--39255  
67381.7890625 11908.4853515625 1.99020743370056
64988.8671875 12015.8623046875 1.82878339290619
69722.3515625 10380.78515625 2.04237174987793
67372.2890625 11925.7734375 2.19427227973938
67370.2421875 11912.0986328125 1.95836055278778
67353.34375 11919.615234375 2.00119042396545
67372.6484375 12035.939453125 3.30484485626221
67362.8359375 12047.3466796875 3.34106016159058
67384.53125 12038.09375 3.16964840888977
67388.3046875 11887.796875 1.85421144962311
67399.140625 12044.861328125 2.57796549797058
67396.828125 12032.0966796875 3.14586806297302
67427.296875 12045.61328125 1.23094964027405
67409.7265625 12046.8896484375 2.01213431358337
67436.671875 11877.765625 2.50510740280151
67520.4765625 11941.8564453125 1.96334218978882
68114.59375 11376.140625 2.09066486358643
69070.9453125 10861.5869140625 1.23469233512878
64495.8125 11991.1669921875 1.45644748210907
67496.234375 11897.7568359375 2.92617607116699
67447.4375 11956.5166015625 3.08774900436401
67453.546875 12027.9140625 0.997725546360016
67457.140625 11981.2861328125 3.16578459739685
67468.546875 11866.3916015625 2.92440938949585
#lines-39308--39331  
67874.296875 11705.458984375 2.27287602424622
67783.1953125 11792.572265625 1.13595414161682
64499.0703125 11810.4326171875 2.72320699691772
64506.4140625 11810.240234375 2.66223406791687
67883.5390625 11505.70703125 2.43373417854309
67868.890625 11500.7333984375 2.10019183158875
67825.1328125 11794.0693359375 0.0643595904111862
67810.0390625 11799.8212890625 0.388553589582443
67826.2578125 11650.7626953125 2.40768766403198
67826.0078125 11718.1572265625 2.77079749107361
67840.5625 11723.73046875 2.50616526603699
67850.3515625 11714.5927734375 2.67652082443237
64585.25390625 11785.0400390625 1.06714749336243
67865.0625 11701.2646484375 2.67221641540527
67911.3515625 11494.4365234375 2.1826593875885
64573.3125 11815.4287109375 2.75292325019836
68964.015625 10746.9091796875 2.20872497558594
67907.125 11748.2998046875 0.000980669516138732
67891.7578125 11543.419921875 2.53071403503418
65326.41015625 12169.5859375 1.6898056268692
67919.28125 11672.5966796875 2.15283179283142
67958.9375 11484.5361328125 2.57052636146545
67952.2578125 11563.6826171875 3.10493016242981
67941.96875 11600.3349609375 2.85533928871155
#lines-39881--39892  
67280.53125 12005.0068359375 1.54110288619995
70638.6796875 10008.943359375 3.64752125740051
70649.0859375 10010.9775390625 3.28112077713013
70601.7734375 10194.0458984375 3.01770830154419
70760.6796875 10141.1240234375 2.30869507789612
70916.9765625 9898.1005859375 2.52742600440979
71014.953125 9896.7236328125 2.59659457206726
70997.546875 9887.015625 2.90796875953674
64451.94140625 11793.4345703125 1.56880760192871
65604.46875 12163.923828125 2.55247712135315
65805.625 12036.1884765625 0.352040678262711
70644.7734375 10099.6728515625 2.66027021408081
# lines-47355--47417 
64485.19921875 11951.033203125 1.00373446941376
64469.51953125 11938.1728515625 1.15661799907684
64574.87109375 11942.9912109375 0.993990540504456
64554.2578125 11952.021484375 1.03133141994476
64536.8125 11962.7724609375 1.05904281139374
64559.1953125 11882.8798828125 2.04263496398926
64549.953125 11962.9111328125 1.06799149513245
64567.02734375 11952.5947265625 1.02049016952515
64577.60546875 11890.0537109375 2.01614093780518
64570.4296875 11962.85546875 1.02243077754974
64584.9921875 11910.201171875 1.83961987495422
64612.5703125 11982.013671875 1.46532964706421
64604.91015625 11838.3466796875 2.28882884979248
64612.28125 11828.4599609375 2.41995167732239
64625.4296875 11829.7119140625 2.37727427482605
64683.58203125 11859.6875 2.16801643371582
64700.75 11870.22265625 2.19018864631653
64688.19140625 11870.451171875 2.15173101425171
64728.9140625 11969.7236328125 1.17014241218567
64761.9296875 11891.6953125 2.11613512039185
