X Y U
#lines-591--598  
71111.5078125 9509.9638671875 0.0409499034285545
71122.8984375 9514.505859375 0.228300347924232
71134.2890625 9519.048828125 0.375679731369019
71145.671875 9523.591796875 0.495553284883499
71157.0625 9528.1337890625 0.560801386833191
71168.4453125 9532.6767578125 0.601244509220123
71179.8359375 9537.2197265625 0.61911416053772
71191.2265625 9541.7626953125 0.608502089977264
# lines-1911--1925 
70583.296875 10120.126953125 0.273970693349838
70579.765625 10121.724609375 0.238478124141693
70576.1640625 10123.35546875 0.183918595314026
69763.109375 10584.2802734375 0.301319152116776
69762.046875 10585.3681640625 0.332665205001831
69762.0625 10586.9501953125 0.0574874840676785
69763.1796875 10588.0361328125 0.252856075763702
69764.765625 10588.0615234375 0.284100770950317
69767.953125 10586.666015625 0.270328849554062
69775.671875 10583.2802734375 0.36689156293869
69780.390625 10581.2099609375 0.296101599931717
69781.5078125 10580.033203125 0.212893053889275
69781.4765625 10578.478515625 0.0794965624809265
69780.359375 10577.3994140625 0.170900538563728
69778.7265625 10577.4296875 0.247244387865067
#lines-38892--38915  
68629.6953125 11088.4765625 0.00456874771043658
64590.10546875 11794.447265625 0.480802804231644
64594.484375 11953.9482421875 0.435135543346405
64604.40234375 11957.94140625 0.436759322881699
64674.796875 11822.1640625 0.559418976306915
64665.859375 11826.662109375 0.579051852226257
66404.046875 12150.439453125 0.0262783747166395
64691.64453125 11806.9501953125 0.509508490562439
64920.76953125 12008.4833984375 0.403519690036774
67923.2890625 11443.0283203125 0.0156615544110537
64743.6328125 11949.3662109375 0.452594101428986
64703.55859375 11820.0185546875 0.528165459632874
65892.0390625 12203.244140625 2.04025693289379E-39
64745.62109375 11830.134765625 0.531351327896118
64789.296875 11965.326171875 0.455088287591934
64760.36328125 11833.76171875 0.54895007610321
64809.00390625 11845.46875 0.54768180847168
64878.17578125 11840.568359375 0.349690407514572
64851.3671875 11981.5478515625 0.413206517696381
64832.828125 11965.8095703125 0.450797706842422
64853.9609375 11862.2705078125 0.561739325523376
64858.265625 11984.572265625 0.405485391616821
64862.51953125 12030.5751953125 0.390584409236908
64890.45703125 12007.3271484375 0.370322823524475
#lines-39232--39255  
67381.7890625 11908.4853515625 0.341907382011414
64988.8671875 12015.8623046875 0.516638815402985
69722.3515625 10380.78515625 0.224228352308273
67372.2890625 11925.7734375 0.415522158145905
67370.2421875 11912.0986328125 0.26562637090683
67353.34375 11919.615234375 0.187010183930397
67372.6484375 12035.939453125 0.760204911231995
67362.8359375 12047.3466796875 0.775056838989258
67384.53125 12038.09375 0.696879088878632
67388.3046875 11887.796875 0.226314514875412
67399.140625 12044.861328125 0.408017814159393
67396.828125 12032.0966796875 0.646757841110229
67427.296875 12045.61328125 0.0473203398287296
67409.7265625 12046.8896484375 0.100311055779457
67436.671875 11877.765625 0.475937277078629
67520.4765625 11941.8564453125 0.45662522315979
68114.59375 11376.140625 0.324686855077744
69070.9453125 10861.5869140625 0.16973303258419
64495.8125 11991.1669921875 0.540009677410126
67496.234375 11897.7568359375 0.724298596382141
67447.4375 11956.5166015625 0.704544842243195
67453.546875 12027.9140625 0.059838779270649
67457.140625 11981.2861328125 0.521197557449341
67468.546875 11866.3916015625 0.592889308929443
#lines-39308--39331  
67874.296875 11705.458984375 0.332256734371185
67783.1953125 11792.572265625 0.276487708091736
64499.0703125 11810.4326171875 0.588689923286438
64506.4140625 11810.240234375 0.59790426492691
67883.5390625 11505.70703125 0.396369308233261
67868.890625 11500.7333984375 0.300450354814529
67825.1328125 11794.0693359375 0.0415208376944065
67810.0390625 11799.8212890625 0.0242162514477968
67826.2578125 11650.7626953125 0.544593036174774
67826.0078125 11718.1572265625 0.423575073480606
67840.5625 11723.73046875 0.362765610218048
67850.3515625 11714.5927734375 0.362943321466446
64585.25390625 11785.0400390625 0.38823726773262
67865.0625 11701.2646484375 0.380081653594971
67911.3515625 11494.4365234375 0.456577181816101
64573.3125 11815.4287109375 0.579891502857208
68964.015625 10746.9091796875 0.00182755885180086
67907.125 11748.2998046875 6.75615466350088E-11
67891.7578125 11543.419921875 0.534396409988403
65326.41015625 12169.5859375 0.298970699310303
67919.28125 11672.5966796875 0.323494583368301
67958.9375 11484.5361328125 0.577157199382782
67952.2578125 11563.6826171875 0.613303244113922
67941.96875 11600.3349609375 0.566657423973083
#lines-39881--39892  
67280.53125 12005.0068359375 0.457143664360046
70638.6796875 10008.943359375 0.00454790657386184
70649.0859375 10010.9775390625 0.00561141083016992
70601.7734375 10194.0458984375 0.721412301063538
70760.6796875 10141.1240234375 0.450454413890839
70916.9765625 9898.1005859375 0.810235619544983
71014.953125 9896.7236328125 0.636247932910919
70997.546875 9887.015625 0.757339239120483
64451.94140625 11793.4345703125 0.559297382831573
65604.46875 12163.923828125 0.0381515026092529
65805.625 12036.1884765625 0.000997889554128051
70644.7734375 10099.6728515625 0.468365013599396
# lines-47355--47417 
64485.19921875 11951.033203125 0.49751478433609
64469.51953125 11938.1728515625 0.482958287000656
64574.87109375 11942.9912109375 0.456059277057648
64554.2578125 11952.021484375 0.457717210054398
64536.8125 11962.7724609375 0.474393576383591
64559.1953125 11882.8798828125 0.578297436237335
64549.953125 11962.9111328125 0.455484300851822
64567.02734375 11952.5947265625 0.444627195596695
64577.60546875 11890.0537109375 0.561460196971893
64570.4296875 11962.85546875 0.462057203054428
64584.9921875 11910.201171875 0.512648463249207
64612.5703125 11982.013671875 0.448966056108475
64604.91015625 11838.3466796875 0.597608923912048
64612.28125 11828.4599609375 0.590835690498352
64625.4296875 11829.7119140625 0.597444713115692
64683.58203125 11859.6875 0.57776004076004
64700.75 11870.22265625 0.586521089076996
64688.19140625 11870.451171875 0.59312629699707
64728.9140625 11969.7236328125 0.413955241441727
64761.9296875 11891.6953125 0.598226010799408
64764.44140625 11880.8349609375 0.592245876789093
64811.1015625 11923.294921875 0.574422776699066
64814.59765625 11945.1162109375 0.515396237373352
64836.23046875 11944.0322265625 0.521345853805542
64818.83984375 11933.4189453125 0.541333079338074
64831.39453125 11932.453125 0.549213051795959
64849.30859375 11944.541015625 0.526761829853058
64880.24609375 11900.9609375 0.586830615997314
64899.5703125 11936.681640625 0.57483571767807
64904.828125 11947.5009765625 0.547422885894775
64936.796875 11909.2529296875 0.593113243579865
64958.83984375 11914.4140625 0.574536085128784
65231.14453125 12037.376953125 0.706927061080933
65354.265625 12128.0361328125 0.794134855270386
65463.30859375 12160.3251953125 0.784816384315491
65456.5546875 12147.806640625 0.738748490810394
65475.55859375 12161.2578125 0.774527668952942
65920.9375 12332.693359375 0.705100357532501
65889.4921875 12332.814453125 0.706172943115234
65927.7734375 12321.1220703125 0.702401280403137
65910.2890625 12332.9892578125 0.704901278018951
65925.6875 12344.083984375 0.691165566444397
65936.828125 12344.146484375 0.700042963027954
66113.1953125 12364.9521484375 0.701946139335632
66069.265625 12359.115234375 0.700409591197968
66077.8828125 12359.4365234375 0.696928679943085
66084.28125 12350.8701171875 0.690097808837891
66102.234375 12363.3505859375 0.699409961700439
66096.6953125 12351.712890625 0.686807215213776
66251.8203125 12371.00390625 0.708761930465698
66244.84375 12359.4921875 0.688783466815948
66251.03125 12347.9375 0.663016557693481
66244.7421875 12379.771484375 0.706091642379761
66361.375 12388.50390625 0.711657404899597
66602.1328125 12245.830078125 0.204424813389778
66353.5 12357.0869140625 0.701891362667084
66353.140625 12379.23046875 0.736288249492645
66356.4375 12327.3974609375 0.604951441287994
66357.3984375 12398.82421875 0.709069967269897
66360.375 12347.09375 0.674784898757935
66360.46875 12367.12890625 0.727785110473633
66373.9921875 12386.248046875 0.716855466365814
66428.8046875 12193.923828125 0.0296742767095566
