,INITIAL ELEVATION,VELOCITY DIFFUSIVITY
PC1,1.3,1.0
PC2,1.3679358717434869,1.496993987975952
PC3,1.3919839679358716,1.1112224448897796
PC4,1.3004008016032065,1.3727454909819639
PC5,1.4,1.5
